Index,Year,Authors,Name,Bibtex,DOI,Instruction & Guidance,Assembly & Arrangement,Problem Solving & Games,Communication & Collaboration,(Tele) Medicine,Maintenance & Industry,Design & Creativity,Education & Knowledge Work,Social & Play,Various & Unspecified,no study,communication,puzzle and assembly,object arrangement and manipulation,locating object in environment,"training, instruction, guiding",information extraction and generation,maintainance,game,walkthrough,general - device limitations,display,ergonomics,tracking,general - scene acquisition & reconstruction,point cloud Level of Detail,point cloud stability,point cloud completeness,3D reconstruction,scale of environment & tracking area,general object recognition & alignment,general - user acquisition & modelling,hand tracking,body tracking,face & gaze tracking,general - system complexity,devices & sensors,computational challenges,heterogeneity & interoperability,scalability,general - latency & real-time presentation,synchronicity,network challenges,general latency,bandwidth issue,performance,general - spatial consistency,calibration & alignment,general - shared & blended environment,dissimilar spaces,virtual content positioning,shared objects,controlling real-world properties,physical & spatial limits,general - spatial awareness & orientation,locating  objects & user,communication about the environment,dynamic changes,general - user representation & techniques,level of detail & accuracy,avatar designs & uncanny valley,general - communication & sensory feedback,(spatial) audio,non-verbal,gestures,facial expressions & eyes,physical props & haptic feedback,general - interpersonal awareness,gaze & view sharing,content & intention sharing,general - cognition & presence,presence,cognitive & mental load,co- & social-presence,accessibility & inclusion,general - asymmetric experiences,content & environment sharing,user representation,awareness on shared personal information,interaction & general capabilities,general - interaction & UI design,adaptive & customizable UI,annotations,workflow,evaluation & studies,domain & use case specific,data privacy & security
70,2016,"Sergio Orts-Escolano}, Christoph Rhemann, Sean Fanello, Wayne Chang, Adarsh Kowdle, Yury Degtyarev, David Kim, Philip L. Davidson, Sameh Khamis, Mingsong Dou, Vladimir Tankovich, Charles Loop, Qin Cai, Philip A. Chou, Sarah Mennicken, Julien Valentin, Vivek Pradeep, Shenlong Wang, Sing Bing Kang, Pushmeet Kohli, Yuliya Lutchyn, Cem Keskin, Shahram Izadi",Holoportation: Virtual 3D Teleportation in Real-time,"@inproceedings{orts-escolano2016holoportation,
  title = {Holoportation: {{Virtual 3D Teleportation}} in {{Real-time}}},
  shorttitle = {Holoportation},
  booktitle = {Proceedings of the 29th {{Annual Symposium}} on {{User Interface Software}} and {{Technology}}},
  author = {{Orts-Escolano}, Sergio and Rhemann, Christoph and Fanello, Sean and Chang, Wayne and Kowdle, Adarsh and Degtyarev, Yury and Kim, David and Davidson, Philip L. and Khamis, Sameh and Dou, Mingsong and Tankovich, Vladimir and Loop, Charles and Cai, Qin and Chou, Philip A. and Mennicken, Sarah and Valentin, Julien and Pradeep, Vivek and Wang, Shenlong and Kang, Sing Bing and Kohli, Pushmeet and Lutchyn, Yuliya and Keskin, Cem and Izadi, Shahram},
  year = {2016},
  month = oct,
  series = {{{UIST}} '16},
  pages = {741--754},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2984511.2984517},
  urldate = {2023-06-13},
  abstract = {We present an end-to-end system for augmented and virtual reality telepresence, called Holoportation. Our system demonstrates high-quality, real-time 3D reconstructions of an entire space, including people, furniture and objects, using a set of new depth cameras. These 3D models can also be transmitted in real-time to remote users. This allows users wearing virtual or augmented reality displays to see, hear and interact with remote participants in 3D, almost as if they were present in the same physical space. From an audio-visual perspective, communicating and interacting with remote users edges closer to face-to-face communication. This paper describes the Holoportation technical system in full, its key interactive capabilities, the application scenarios it enables, and an initial qualitative study of using this new communication medium.},
  isbn = {978-1-4503-4189-9},
  keywords = {3d capture,AR VR Mix,depth cameras,gpu,mixed reality,non-rigid reconstruction,Read KLK,real-time,telepresence},
  file = {D:\_Zotero\storage\NJAIR4SA\Orts-Escolano et al. - 2016 - Holoportation Virtual 3D Teleportation in Real-ti.pdf}
}",10.1145/2984511.2984517,x,,x,x,,,,,x,x,,x,x,,,,,,,,,x,,,,x,x,x,x,x,,,,,,,x,x,,,,,,x,,x,,,,,,x,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,
75,2016,"Mohammad Mehdi Moniri, Fabio Andres Espinosa Valcarcel, Dieter Merkel, Winfried Schuffert, Tim Schwartz",Hybrid team interaction in the mixed reality continuum,"@inproceedings{moniri2016hybrid,
  title = {Hybrid Team Interaction in the Mixed Reality Continuum},
  booktitle = {Proceedings of the 22nd {{ACM Conference}} on {{Virtual Reality Software}} and {{Technology}}},
  author = {Moniri, Mohammad Mehdi and Valcarcel, Fabio Andres Espinosa and Merkel, Dieter and Schuffert, Winfried and Schwartz, Tim},
  year = {2016},
  month = nov,
  series = {{{VRST}} '16},
  pages = {335--336},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2993369.2996318},
  urldate = {2024-04-26},
  abstract = {This paper describes a system, which enables collaboration in a hybrid team consisting of a robot, physically present humans and remote humans, where the latter are connected via Virtual Reality. This setup spans the whole continuum between Physical and Virtual Reality, including Augmented Reality. The work presented herein, describes how such a scattered, hybrid team can interact and cooperate in a virtual representation of a factory, using eye-, head-, hand- and gesture-tracking as multimodal control and communication input.},
  isbn = {978-1-4503-4491-3},
  keywords = {augmented reality,human-robot interaction,interactive collaboration,multimodal input,virtual reality},
  file = {D:\_Zotero\storage\ZHLHNWPF\Moniri et al. - 2016 - Hybrid team interaction in the mixed reality conti.pdf}
}",10.1145/2993369.2996318,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2016,"Lei Gao, Huidong Bai, Gun Lee, Mark Billinghurst",An oriented point-cloud view for MR remote collaboration,"@inproceedings{gao2016oriented,
  title = {An Oriented Point-Cloud View for {{MR}} Remote Collaboration},
  booktitle = {{{SIGGRAPH ASIA}} 2016 {{Mobile Graphics}} and {{Interactive Applications}}},
  author = {Gao, Lei and Bai, Huidong and Lee, Gun and Billinghurst, Mark},
  year = {2016},
  month = nov,
  series = {{{SA}} '16},
  pages = {1--4},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/2999508.2999531},
  urldate = {2024-07-17},
  abstract = {We present a Mixed Reality system for remote collaboration using Virtual Reality (VR) headsets with external depth cameras attached. By wirelessly sharing a 3D point-cloud data of a local workers' workspace with a remote helper, and sharing the remote helper's hand gestures back to the local worker, the remote helper is able to assist the worker to perform manual tasks.Displaying the point-cloud video in a conventional way, such as a static front view in VR headsets, does not provide helpers with sufficient understanding of the spatial relationships between their hands and the remote surroundings. In contrast, we propose a Mixed Reality (MR) system that shares with the remote helper, not only 3D captured environment data but also real-time orientation info of the worker's viewpoint. We conducted a pilot study to evaluate the usability of the system, and we found that extra synchronized orientation data can make collaborators feel more connected spatially and mentally.},
  isbn = {978-1-4503-4551-4},
  file = {D:\_Zotero\storage\G6SS7GKP\Gao et al_2016_An oriented point-cloud view for MR remote collaboration.pdf}
}",10.1145/2999508.2999531,x,x,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,
78,2016,"Hongling Sun, Zhenliang Zhang, Yue Liu, Henry B. L. Duh",OptoBridge: assisting skill acquisition in the remote experimental collaboration,"@inproceedings{sun2016optobridge,
  title = {{{OptoBridge}}: Assisting Skill Acquisition in the Remote Experimental Collaboration},
  shorttitle = {{{OptoBridge}}},
  booktitle = {Proceedings of the 28th {{Australian Conference}} on {{Computer-Human Interaction}}},
  author = {Sun, Hongling and Zhang, Zhenliang and Liu, Yue and Duh, Henry B. L.},
  year = {2016},
  month = nov,
  series = {{{OzCHI}} '16},
  pages = {195--199},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3010915.3010975},
  urldate = {2024-09-08},
  abstract = {In this paper an experimental teaching platform named OptoBridge is presented which supports the sharing of the collaborative space for spatially distributed users to assist skill acquisition. The development of OptoBridge is based on augmented reality (AR) and integrates free-hand gesture interactions with the video mediated communication. The prototype is preliminarily applied in the optics field to promote skill execution in the case of the Michelson interferometer. OptoBridge enables the remote teacher to monitor the experimental scenario as well as the detailed optical phenomena through the transmitted video captured on the local side. Meanwhile the local learner equipped with the optical see-through head-mounted display (OSTHMD) can be indicated by virtual hands and augmented annotations controlled by the teacher's gestures and follow the guidance to get their skills practiced. The implementation of OptoBridge is also presented, aimed at providing a more engaging and efficient approach for remote skill teaching.},
  isbn = {978-1-4503-4618-4}
}",10.1145/3010915.3010975,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
79,2017,"Jens M{\u}ller, Roman R{\a}dle, Harald Reiterer",Remote Collaboration With Mixed Reality Displays: How Shared Virtual Landmarks Facilitate Spatial Referencing,"@inproceedings{muller2017remote,
  title = {Remote {{Collaboration With Mixed Reality Displays}}: {{How Shared Virtual Landmarks Facilitate Spatial Referencing}}},
  booktitle = {Proceedings of the 2017 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {M{\""u}ller, Jens and R{\""a}dle, Roman and Reiterer, Harald},
  year = {2017},
  series = {{{CHI}} '17},
  pages = {6481--6486},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3025453.3025717},
  abstract = {HCI research has demonstrated Mixed Reality (MR) as being beneficial for co-located collaborative work. For remote collaboration, however, the collaborators' visual contexts do not coincide due to their individual physical environments. The problem becomes apparent when collaborators refer to physical landmarks in their individual environments to guide each other's attention. In an experimental study with 16 dyads, we investigated how the provisioning of shared virtual landmarks (SVLs) influences communication behavior and user experience. A quantitative analysis revealed that participants used significantly less ambiguous spatial expressions and reported an improved user experience when SVLs were provided. Based on these findings and a qualitative video analysis we provide implications for the design of MRs to facilitate remote collaboration.},
  isbn = {978-1-4503-4655-9},
  keywords = {mixed reality,remote collaboration,virtual landmarks}
}",10.1145/3025453.3025717,,,x,x,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,
87,2017,"Thammathip Piumsomboon, Arindam Day, Barrett Ens, Youngho Lee, Gun Lee, Mark Billinghurst",Exploring enhancements for remote mixed reality collaboration,"@inproceedings{piumsomboon2017exploring,
  title = {Exploring Enhancements for Remote Mixed Reality Collaboration},
  booktitle = {{{SIGGRAPH Asia}} 2017 {{Mobile Graphics}} \& {{Interactive Applications}}},
  author = {Piumsomboon, Thammathip and Day, Arindam and Ens, Barrett and Lee, Youngho and Lee, Gun and Billinghurst, Mark},
  year = {2017},
  month = nov,
  series = {{{SA}} '17},
  pages = {1--5},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3132787.3139200},
  urldate = {2024-07-17},
  abstract = {In this paper, we explore techniques for enhancing remote Mixed Reality (MR) collaboration in terms of communication and interaction. We created CoVAR, a MR system for remote collaboration between an Augmented Reality (AR) and Augmented Virtuality (AV) users. Awareness cues and AV-Snap-to-AR interface were proposed for enhancing communication. Collaborative natural interaction, and AV-User-Body-Scaling were implemented for enhancing interaction. We conducted an exploratory study examining the awareness cues and the collaborative gaze, and the results showed the benefits of the proposed techniques for enhancing communication and interaction.},
  isbn = {978-1-4503-5410-3},
  file = {D:\_Zotero\storage\K97GDENI\Piumsomboon et al_2017_Exploring enhancements for remote mixed reality collaboration.pdf}
}",10.1145/3132787.3139200,,,,x,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,
93,2017,"Jens M{\u}ller, Simon Butscher, Stefan P. Feyer, Harald Reiterer",Studying collaborative object positioning in distributed augmented realities,"@inproceedings{muller2017studying,
  title = {Studying Collaborative Object Positioning in Distributed Augmented Realities},
  booktitle = {Proceedings of the 16th {{International Conference}} on {{Mobile}} and {{Ubiquitous Multimedia}}},
  author = {M{\""u}ller, Jens and Butscher, Simon and Feyer, Stefan P. and Reiterer, Harald},
  year = {2017},
  series = {{{MUM}} '17},
  pages = {123--132},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3152832.3152856},
  abstract = {Augmented Reality (AR) displays have been suggested as shared-space technology to support remote collaboration, e.g., in design and building tasks. But with AR displays, the shared space typically consists of only the virtual work objects (e.g., design artifacts) while collaborators' interaction is grounded in their individual, physical environment. This can become problematic during activities that involve the positioning of virtual objects because the collaborators may require shared spatial references to coordinate their actions. In a lab experiment with 16 dyads, we studied how collaborators deal with that issue, and whether the provisioning of additive, virtual landmarks influences collaboration. As a result the landmarks improved user experience and decreased the reported temporal demand. In addition, we identified task-specific problem situations and provide implications for the design of distributed ARs to facilitate the collaborative positioning of virtual objects.},
  isbn = {978-1-4503-5378-6},
  keywords = {augmented reality,object positioning,remote collaboration,user experience,virtual landmarks}
}",10.1145/3152832.3152856,,,x,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
96,2018,"Thammathip Piumsomboon, Gun A. Lee, Mark Billinghurst",Snow Dome: A Multi-Scale Interaction in Mixed Reality Remote Collaboration,"@inproceedings{piumsomboon2018snow,
  title = {Snow {{Dome}}: {{A Multi-Scale Interaction}} in {{Mixed Reality Remote Collaboration}}},
  booktitle = {Extended {{Abstracts}} of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Piumsomboon, Thammathip and Lee, Gun A. and Billinghurst, Mark},
  year = {2018},
  series = {{{CHI EA}} '18},
  pages = {1--4},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3170427.3186495},
  abstract = {We present Snow Dome, a Mixed Reality (MR) remote collaboration application that supports a multi-scale interaction for a Virtual Reality (VR) user. We share a local Augmented Reality (AR) user's reconstructed space with a remote VR user who has an ability to scale themselves up into a giant or down into a miniature for different perspectives and interaction at that scale within the shared space.},
  isbn = {978-1-4503-5621-3},
  keywords = {augmented reality,avatar,mixed reality,multiple,remote collaboration,remote embodiment,scale,virtual reality}
}",10.1145/3170427.3186495,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
98,2018,"Sebastian G{\u}nther, Florian M{\u}ller, Martin Schmitz, Jan Riemann, Niloofar Dezfuli, Markus Funk, Dominik Sch{\o}n, Max M{\u}hlh{\a}user",CheckMate: Exploring a Tangible Augmented Reality Interface for Remote Interaction,"@inproceedings{gunther2018checkmate,
  title = {{{CheckMate}}: {{Exploring}} a {{Tangible Augmented Reality Interface}} for {{Remote Interaction}}},
  shorttitle = {{{CheckMate}}},
  booktitle = {Extended {{Abstracts}} of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {G{\""u}nther, Sebastian and M{\""u}ller, Florian and Schmitz, Martin and Riemann, Jan and Dezfuli, Niloofar and Funk, Markus and Sch{\""o}n, Dominik and M{\""u}hlh{\""a}user, Max},
  year = {2018},
  month = apr,
  series = {{{CHI EA}} '18},
  pages = {1--6},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3170427.3188647},
  urldate = {2024-07-17},
  abstract = {The digitalized world comes with increasing Internet capabilities, allowing to connect persons over distance easier than ever before. Video conferencing and similar online applications create great benefits bringing people who physically cannot spend as much time as they want virtually together. However, such remote experiences can also tend to lose the feeling of traditional experiences. People lack direct visual presence and no haptic feedback is available. In this paper, we tackle this problem by introducing our system called CheckMate. We combine Augmented Reality and capacitive 3D printed objects that can be sensed on an interactive surface to enable remote interaction while providing the same tangible experience as in co-located scenarios. As a proof-of-concept, we implemented a sample application based on the traditional chess game.},
  isbn = {978-1-4503-5621-3},
  file = {D:\_Zotero\storage\5VT622AX\Günther et al_2018_CheckMate.pdf}
}",10.1145/3170427.3188647,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,
99,2018,"Thammathip Piumsomboon, Gun A. Lee, Jonathon D. Hart, Barrett Ens, Robert W. Lindeman, Bruce H. Thomas, Mark Billinghurst",Mini-Me: An Adaptive Avatar for Mixed Reality Remote Collaboration,"@inproceedings{piumsomboon2018minimea,
  title = {Mini-{{Me}}: {{An Adaptive Avatar}} for {{Mixed Reality Remote Collaboration}}},
  shorttitle = {Mini-{{Me}}},
  booktitle = {Proceedings of the 2018 {{CHI Conference}} on {{Human Factors}} in {{Computing Systems}}},
  author = {Piumsomboon, Thammathip and Lee, Gun A. and Hart, Jonathon D. and Ens, Barrett and Lindeman, Robert W. and Thomas, Bruce H. and Billinghurst, Mark},
  year = {2018},
  month = apr,
  series = {{{CHI}} '18},
  pages = {1--13},
  publisher = {Association for Computing Machinery},
  address = {New York, NY, USA},
  doi = {10.1145/3173574.3173620},
  urldate = {2023-07-05},
  abstract = {We present Mini-Me, an adaptive avatar for enhancing Mixed Reality (MR) remote collaboration between a local Augmented Reality (AR) user and a remote Virtual Reality (VR) user. The Mini-Me avatar represents the VR user's gaze direction and body gestures while it transforms in size and orientation to stay within the AR user's field of view. A user study was conducted to evaluate Mini-Me in two collaborative scenarios: an asymmetric remote expert in VR assisting a local worker in AR, and a symmetric collaboration in urban planning. We found that the presence of the Mini-Me significantly improved Social Presence and the overall experience of MR collaboration.},
  isbn = {978-1-4503-5620-6},
  keywords = {AR VR Mix,augmented reality,avatar,awareness,gaze,gesture,mixed reality,redirected,remote collaboration,remote embodiment,virtual reality},
  file = {D:\_Zotero\storage\XXAUDVGM\Piumsomboon et al. - 2018 - Mini-Me An Adaptive Avatar for Mixed Reality Remo.pdf}
}",10.1145/3173574.3173620,x,x,x,,,x,x,,x,,,,,x,x,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,x,,x,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,
